fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
18,car,0.3,3,661,536,712,574,,,,,,
18,car,0.3,6,460,510,495,535,,,,,,
18,car,0.29,6,464,511,499,540,,,,,,
18,car,0.27,6,538,517,579,545,,,,,,
18,car,0.26,5,952,549,1025,625,,,,,,
18,car,0.26,6,494,520,534,552,,,,,,
19,car,0.92,0,1562,577,1918,1069,,,,,,
19,car,0.88,2,326,590,567,759,,,,,,
19,car,0.86,4,1102,520,1376,751,,,,,,
19,car,0.83,1,712,525,977,787,,,,,,
19,car,0.78,7,498,559,651,680,,,,,,
19,car,0.7,5,997,548,1127,652,,,,,,
19,car,0.45,5,953,550,1023,624,,,,,,
19,car,0.36,3,624,562,684,648,,,,,,
19,car,0.27,3,659,536,712,576,,,,,,
19,car,0.27,3,620,560,682,602,,,,,,
19,car,0.26,6,537,518,581,547,,,,,,
19,car,0.26,5,955,557,1011,631,,,,,,
19,license_plate,0.54,1,803,677,891,699,0.54,803,677,891,699,8645 KJJ
20,car,0.91,0,1576,580,1919,1065,,,,,,
20,car,0.87,2,326,589,567,757,,,,,,
20,car,0.84,4,1104,521,1381,753,,,,,,
20,car,0.83,1,711,524,977,788,,,,,,
20,car,0.8,7,498,559,650,680,,,,,,
20,car,0.78,5,998,547,1130,654,,,,,,
20,car,0.5,5,953,548,1028,626,,,,,,
20,car,0.37,3,628,567,682,647,,,,,,
20,car,0.26,6,537,518,581,547,,,,,,
21,car,0.92,0,1591,590,1919,1065,,,,,,
21,car,0.86,2,325,590,566,757,,,,,,
21,car,0.85,4,1104,521,1385,757,,,,,,
21,car,0.82,1,709,526,974,789,,,,,,
21,car,0.77,7,499,559,643,681,,,,,,
21,car,0.7,5,999,548,1133,654,,,,,,
21,car,0.51,5,953,548,1031,627,,,,,,
21,car,0.47,3,626,566,680,648,,,,,,
21,car,0.28,6,535,517,577,547,,,,,,
21,car,0.26,3,621,562,678,601,,,,,,
22,car,0.91,0,1606,592,1919,1065,,,,,,
22,car,0.86,2,325,589,565,757,,,,,,
22,car,0.85,4,1104,522,1389,761,,,,,,
22,car,0.83,1,707,524,973,790,,,,,,
22,car,0.76,7,501,559,643,681,,,,,,
22,car,0.65,5,1001,547,1133,657,,,,,,
22,car,0.48,5,950,548,1031,634,,,,,,
22,car,0.44,3,623,565,680,648,,,,,,
22,car,0.28,6,534,517,572,547,,,,,,
22,car,0.27,3,620,562,678,602,,,,,,
22,car,0.26,3,655,531,709,578,,,,,,
23,car,0.89,0,1621,595,1919,1056,,,,,,
23,car,0.86,2,325,589,564,757,,,,,,
23,car,0.84,1,704,526,972,792,,,,,,
23,car,0.84,4,1105,522,1396,764,,,,,,
23,car,0.77,7,499,560,647,679,,,,,,
23,car,0.7,5,1000,548,1136,656,,,,,,
23,car,0.5,5,947,550,1028,633,,,,,,
23,car,0.42,3,619,564,679,649,,,,,,
23,car,0.26,6,534,519,573,547,,,,,,
23,car,0.26,3,618,561,676,602,,,,,,
24,car,0.89,0,1638,610,1919,1056,,,,,,
24,car,0.85,2,326,588,564,756,,,,,,
24,car,0.85,4,1108,521,1404,766,,,,,,
24,car,0.84,1,702,526,971,793,,,,,,
24,car,0.77,7,500,559,643,680,,,,,,
24,car,0.64,5,1003,549,1138,658,,,,,,
24,car,0.56,5,950,550,1033,633,,,,,,
24,car,0.36,3,612,566,678,650,,,,,,
24,license_plate,0.53,1,793,679,883,703,0.53,793,679,883,703,8665 KJJ
25,car,0.9,0,1656,622,1919,1063,,,,,,
25,car,0.83,2,327,588,564,757,,,,,,
25,car,0.83,1,701,525,971,792,,,,,,
25,car,0.83,4,1115,520,1413,766,,,,,,
25,car,0.78,7,504,557,642,680,,,,,,
25,car,0.68,5,1005,549,1142,660,,,,,,
25,car,0.61,5,950,549,1037,637,,,,,,
25,car,0.34,3,629,566,679,648,,,,,,
25,car,0.27,3,612,557,678,640,,,,,,
25,car,0.26,3,656,534,705,580,,,,,,
26,car,0.9,0,1672,653,1919,1066,,,,,,
26,car,0.87,4,1115,518,1418,768,,,,,,
26,car,0.84,2,328,585,565,753,,,,,,
26,car,0.84,1,700,526,972,793,,,,,,
26,car,0.81,7,503,556,643,680,,,,,,
26,car,0.74,5,1002,550,1145,661,,,,,,
26,car,0.6,5,952,548,1042,637,,,,,,
26,car,0.37,3,629,564,678,648,,,,,,
26,car,0.31,3,658,534,708,577,,,,,,
26,car,0.28,6,488,519,532,557,,,,,,
26,car,0.27,6,535,518,589,557,,,,,,
26,car,0.25,3,612,555,678,644,,,,,,
26,car,0.25,6,525,521,624,564,,,,,,
27,car,0.88,0,1697,670,1919,1070,,,,,,
27,car,0.86,4,1114,519,1424,769,,,,,,
27,car,0.85,1,703,525,973,793,,,,,,
27,car,0.85,2,329,584,567,751,,,,,,
27,car,0.8,7,500,556,642,680,,,,,,
27,car,0.76,5,1004,549,1147,660,,,,,,
27,car,0.61,5,955,551,1043,635,,,,,,
27,car,0.45,3,620,560,678,648,,,,,,
27,car,0.28,6,535,517,584,554,,,,,,
27,car,0.28,6,492,521,532,557,,,,,,
27,license_plate,0.55,1,796,683,881,706,0.55,796,683,881,706,8645 KJJ
28,car,0.9,4,1118,516,1434,774,,,,,,
28,car,0.85,2,333,585,568,748,,,,,,
28,car,0.83,1,703,526,974,793,,,,,,
28,car,0.77,7,502,556,642,679,,,,,,
28,car,0.77,0,1716,717,1918,1072,,,,,,
28,car,0.73,5,1009,547,1148,660,,,,,,
28,car,0.56,5,959,552,1039,637,,,,,,
28,car,0.44,3,622,560,678,647,,,,,,
28,car,0.27,6,536,516,582,550,,,,,,
28,car,0.25,6,493,520,532,559,,,,,,
29,car,0.89,4,1123,516,1441,778,,,,,,
29,car,0.85,2,334,583,567,746,,,,,,
29,car,0.84,0,1740,723,1919,1071,,,,,,
29,car,0.83,1,705,526,974,793,,,,,,
29,car,0.76,7,502,555,642,678,,,,,,
29,car,0.71,5,1012,549,1149,660,,,,,,
29,car,0.51,5,954,551,1042,638,,,,,,
29,car,0.44,3,624,560,678,646,,,,,,
29,car,0.25,6,538,515,585,548,,,,,,
30,car,0.9,4,1124,514,1447,782,,,,,,
30,car,0.85,2,334,582,566,748,,,,,,
30,car,0.83,1,702,526,972,794,,,,,,
30,car,0.77,5,1012,547,1152,659,,,,,,
30,car,0.76,7,504,554,642,676,,,,,,
30,car,0.74,0,1761,727,1918,1072,,,,,,
30,car,0.48,5,960,550,1047,636,,,,,,
30,car,0.48,3,618,558,677,646,,,,,,
30,car,0.29,6,494,519,532,552,,,,,,
30,car,0.29,3,660,530,710,571,,,,,,
30,car,0.26,6,539,513,587,547,,,,,,
30,license_plate,0.5,1,793,684,887,706,0.5,793,684,887,706,8645 KJJ
31,car,0.9,4,1128,514,1457,783,,,,,,
31,car,0.85,2,333,581,565,747,,,,,,
31,car,0.83,1,703,526,972,796,,,,,,
31,car,0.79,5,1013,546,1154,659,,,,,,
31,car,0.78,7,502,552,642,674,,,,,,
31,car,0.77,0,1787,727,1919,1075,,,,,,
31,car,0.43,3,619,558,676,644,,,,,,
31,car,0.43,5,953,547,1049,635,,,,,,
31,car,0.28,6,539,513,592,549,,,,,,
31,car,0.27,6,493,520,531,553,,,,,,
31,car,0.26,3,660,531,707,569,,,,,,
31,license_plate,0.55,1,793,684,889,708,0.55,793,684,889,708,8645 KJJ
32,car,0.91,4,1128,512,1464,786,,,,,,
32,car,0.86,2,334,581,565,746,,,,,,
32,car,0.83,1,704,525,971,797,,,,,,
32,car,0.78,5,1015,544,1156,659,,,,,,
32,car,0.75,7,502,551,641,674,,,,,,
32,car,0.49,5,967,551,1038,635,,,,,,
32,car,0.45,3,623,557,677,643,,,,,,
32,car,0.44,0,1812,785,1919,1073,,,,,,
32,car,0.29,5,944,548,1042,641,,,,,,
32,car,0.25,6,538,512,579,545,,,,,,
32,car,0.25,8,166,505,207,537,,,,,,
32,license_plate,0.5,1,793,685,887,708,0.5,793,685,887,708,8645 KJJ
33,car,0.89,4,1135,511,1472,791,,,,,,
33,car,0.85,2,335,580,566,746,,,,,,
33,car,0.82,1,704,526,973,796,,,,,,
33,car,0.76,7,502,549,644,671,,,,,,
33,car,0.76,5,1016,544,1161,660,,,,,,
33,car,0.51,0,1840,806,1919,1071,,,,,,
